,ID,player
0,abdulma02,Mahmoud Abdul-Rauf
1,abdulta01,Tariq Abdul-Wahad
2,abdursh01,Shareef Abdur-Rahim
3,alexaco01,Cory Alexander
4,alexaco02,Courtney Alexander
5,allenra02,Ray Allen*
6,alstora01,Rafer Alston
7,amaecjo01,John Amaechi
8,anderde01,Derek Anderson
9,anderke01,Kenny Anderson
10,anderni01,Nick Anderson
11,andersh01,Shandon Anderson
12,anthogr01,Greg Anthony
13,armstda01,Darrell Armstrong
14,atkinch01,Chucky Atkins
15,augmost01,Stacey Augmon
16,austiis01,Isaac Austin
17,averywi01,William Avery
18,bagarda01,Dalibor Bagarić
19,bakervi01,Vin Baker
20,barkler01,Erick Barkley
21,barroda01,Dana Barros
22,barrybr01,Brent Barry
23,barryjo01,Jon Barry
24,battito01,Tony Battie
25,bellra01,Raja Bell
26,bendejo01,Jonathan Bender
27,benjaco01,Corey Benjamin
28,benoida01,David Benoit
29,besttr01,Travis Best
30,bibbymi01,Mike Bibby
31,billuch01,Chauncey Billups
32,blaylmo01,Mookie Blaylock
33,blounco01,Corie Blount
34,blounma01,Mark Blount
35,boguemu01,Muggsy Bogues
36,bohanet01,Etdrick Bohannon
37,boothca01,Calvin Booth
38,bowdlca01,Cal Bowdler
39,bowenbr01,Bruce Bowen
40,bowenry01,Ryan Bowen
41,bowmair01,Ira Bowman
42,boykiea01,Earl Boykins
43,bradlsh01,Shawn Bradley
44,brandel01,Elton Brand
45,brandte01,Terrell Brandon
46,brownch01,Chucky Brown
47,brownde01,Dee Brown
48,brownpj01,P.J. Brown
49,brownra02,Randy Brown
50,brunsri01,Rick Brunson
51,bryanko01,Kobe Bryant*
52,bryanma01,Mark Bryant
53,buckngr01,Greg Buckner
54,buechju01,Jud Buechler
55,buforro01,Rodney Buford
56,bullama01,Matt Bullard
57,burresc01,Scott Burrell
58,caffeja01,Jason Caffey
59,cambyma01,Marcus Camby
60,campbel01,Elden Campbell
61,cardibr01,Brian Cardinal
62,carrch01,Chris Carr
63,cartean01,Anthony Carter
64,cartevi01,Vince Carter
65,cassesa01,Sam Cassell
66,catoke01,Kelvin Cato
67,causwdu01,Duane Causwell
68,cebalce01,Cedric Ceballos
69,cheanca01,Calbert Cheaney
70,childch01,Chris Childs
71,chrisdo01,Doug Christie
72,clarkke01,Keon Clark
73,cleavma01,Mateen Cleaves
74,cokerjo01,John Coker
75,colemde01,Derrick Coleman
76,colesbi01,Bimbo Coles
77,collija02,Jason Collier
78,colsose01,Sean Colson
79,corbity01,Tyrone Corbin
80,crawfch01,Chris Crawford
81,crawfja01,Jamal Crawford
82,croshau01,Austin Croshere
83,crottjo01,John Crotty
84,cummivo01,Vonteego Cummings
85,curlebi01,Bill Curley
86,curryde01,Dell Curry
87,currymi01,Michael Curry
88,dampier01,Erick Dampier
89,daniean01,Antonio Daniels
90,davidko01,Kornél Dávid
91,davisan01,Antonio Davis
92,davisba01,Baron Davis
93,davisda01,Dale Davis
94,davisem01,Emanual Davis
95,davishu01,Hubert Davis
96,davisri01,Ricky Davis
97,daviste01,Terry Davis
98,dayto01,Todd Day
99,declean01,Andrew DeClercq
100,delnevi01,Vinny Del Negro
101,delkto01,Tony Delk
102,dialde01,Derrick Dial
103,dickemi01,Michael Dickerson
104,divacvl01,Vlade Divac*
105,doleami01,Michael Doleac
106,doolike01,Keyon Dooling
107,douglsh01,Sherman Douglas
108,drewbr01,Bryce Drew
109,dudlech02,Chris Dudley
110,duncati01,Tim Duncan*
111,edneyty01,Tyus Edney
112,edwarke01,Kevin Edwards
113,eisleho01,Howard Eisley
114,ekeziob01,Obinna Ekezie
115,elamikh01,Khalid El-Amin
116,eliema01,Mario Elie
117,elliose01,Sean Elliott
118,ellisla01,LaPhonso Ellis
119,ellispe01,Pervis Ellison
120,eschmev01,Evan Eschmeyer
121,ewingpa01,Patrick Ewing*
122,feickja01,Jamie Feick
123,ferryda01,Danny Ferry
124,finlemi01,Michael Finley
125,fishede01,Derek Fisher
126,fizerma01,Marcus Fizer
127,fortsda01,Danny Fortson
128,fostegr01,Greg Foster
129,fosteje01,Jeff Foster
130,foxri01,Rick Fox
131,foylead01,Adonal Foyle
132,francst01,Steve Francis
133,fulleto02,Todd Fuller
134,fundela01,Lawrence Funderburke
135,garceru01,Rubén Garcés
136,garnech01,Chris Garner
137,garneke01,Kevin Garnett*
138,garrede01,Dean Garrett
139,garripa01,Pat Garrity
140,gatlich01,Chris Gatling
141,geigema01,Matt Geiger
142,georgde01,Devean George
143,gilled01,Eddie Gill
144,gillke01,Kendall Gill
145,glovedi01,Dion Glover
146,goldwan01,Anthony Goldwire
147,goodrst01,Steve Goodrich
148,grantbr01,Brian Grant
149,grantga01,Gary Grant
150,grantho01,Horace Grant
151,greenac01,A.C. Green
152,griffad01,Adrian Griffin
153,guglito01,Tom Gugliotta
154,guytoaj01,A.J. Guyton
