ID,player
abdulma02,Mahmoud Abdul-Rauf
abdulta01,Tariq Abdul-Wahad
abdursh01,Shareef Abdur-Rahim
alexaco01,Cory Alexander
alexaco02,Courtney Alexander
allenra02,Ray Allen
alstora01,Rafer Alston
amaecjo01,John Amaechi
anderde01,Derek Anderson
anderke01,Kenny Anderson
anderni01,Nick Anderson
andersh01,Shandon Anderson
anthogr01,Greg Anthony
armstda01,Darrell Armstrong
atkinch01,Chucky Atkins
augmost01,Stacey Augmon
austiis01,Isaac Austin
averywi01,William Avery
bagarda01,Dalibor Bagarić
bakervi01,Vin Baker
barkler01,Erick Barkley
barroda01,Dana Barros
barrybr01,Brent Barry
barryjo01,Jon Barry
battito01,Tony Battie
bellra01,Raja Bell
bendejo01,Jonathan Bender
benjaco01,Corey Benjamin
benoida01,David Benoit
besttr01,Travis Best
bibbymi01,Mike Bibby
billuch01,Chauncey Billups
blaylmo01,Mookie Blaylock
blounco01,Corie Blount
blounma01,Mark Blount
boguemu01,Muggsy Bogues
bohanet01,Etdrick Bohannon
boothca01,Calvin Booth
bowdlca01,Cal Bowdler
bowenbr01,Bruce Bowen
bowenry01,Ryan Bowen
bowmair01,Ira Bowman
boykiea01,Earl Boykins
bradlsh01,Shawn Bradley
brandel01,Elton Brand
brandte01,Terrell Brandon
brownch01,Chucky Brown
brownde01,Dee Brown
brownpj01,P.J. Brown
brownra02,Randy Brown
brunsri01,Rick Brunson
bryanko01,Kobe Bryant
bryanma01,Mark Bryant
buckngr01,Greg Buckner
buechju01,Jud Buechler
buforro01,Rodney Buford
bullama01,Matt Bullard
burresc01,Scott Burrell
caffeja01,Jason Caffey
cambyma01,Marcus Camby
campbel01,Elden Campbell
cardibr01,Brian Cardinal
carrch01,Chris Carr
cartean01,Anthony Carter
cartevi01,Vince Carter
cassesa01,Sam Cassell
catoke01,Kelvin Cato
causwdu01,Duane Causwell
cebalce01,Cedric Ceballos
cheanca01,Calbert Cheaney
childch01,Chris Childs
chrisdo01,Doug Christie
clarkke01,Keon Clark
cleavma01,Mateen Cleaves
cokerjo01,John Coker
colemde01,Derrick Coleman
colesbi01,Bimbo Coles
collija02,Jason Collier
colsose01,Sean Colson
corbity01,Tyrone Corbin
crawfch01,Chris Crawford
crawfja01,Jamal Crawford
croshau01,Austin Croshere
crottjo01,John Crotty
cummivo01,Vonteego Cummings
curlebi01,Bill Curley
curryde01,Dell Curry
currymi01,Michael Curry
dampier01,Erick Dampier
daniean01,Antonio Daniels
davidko01,Kornél Dávid
davisan01,Antonio Davis
davisba01,Baron Davis
davisda01,Dale Davis
davisem01,Emanual Davis
davishu01,Hubert Davis
davisri01,Ricky Davis
daviste01,Terry Davis
dayto01,Todd Day
declean01,Andrew DeClercq
delnevi01,Vinny Del Negro
delkto01,Tony Delk
dialde01,Derrick Dial
dickemi01,Michael Dickerson
divacvl01,Vlade Divac
doleami01,Michael Doleac
doolike01,Keyon Dooling
douglsh01,Sherman Douglas
drewbr01,Bryce Drew
dudlech02,Chris Dudley
duncati01,Tim Duncan
edneyty01,Tyus Edney
edwarke01,Kevin Edwards
eisleho01,Howard Eisley
ekeziob01,Obinna Ekezie
elamikh01,Khalid El-Amin
eliema01,Mario Elie
elliose01,Sean Elliott
ellisla01,LaPhonso Ellis
ellispe01,Pervis Ellison
eschmev01,Evan Eschmeyer
ewingpa01,Patrick Ewing
feickja01,Jamie Feick
ferryda01,Danny Ferry
finlemi01,Michael Finley
fishede01,Derek Fisher
fizerma01,Marcus Fizer
fortsda01,Danny Fortson
fostegr01,Greg Foster
fosteje01,Jeff Foster
foxri01,Rick Fox
foylead01,Adonal Foyle
francst01,Steve Francis
fulleto02,Todd Fuller
fundela01,Lawrence Funderburke
garceru01,Rubén Garcés
garnech01,Chris Garner
garneke01,Kevin Garnett
garrede01,Dean Garrett
garripa01,Pat Garrity
gatlich01,Chris Gatling
geigema01,Matt Geiger
georgde01,Devean George
gilled01,Eddie Gill
gillke01,Kendall Gill
glovedi01,Dion Glover
goldwan01,Anthony Goldwire
goodrst01,Steve Goodrich
grantbr01,Brian Grant
grantga01,Gary Grant
grantho01,Horace Grant
greenac01,A.C. Green
griffad01,Adrian Griffin
guglito01,Tom Gugliotta
guytoaj01,A.J. Guyton
hamda01,Darvin Ham
hamilri01,Richard Hamilton
hamilze01,Zendon Hamilton
hammoto01,Tom Hammonds
hardaan01,Anfernee Hardaway
hardati01,Tim Hardaway
harpero01,Ron Harper
harprma01,Matt Harpring
harrial01,Al Harrington
harriot01,Othella Harrington
harrilu01,Lucious Harris
hartja01,Jason Hart
harvean01,Antonio Harvey
harvedo01,Donnell Harvey
hawkihe01,Hersey Hawkins
hawkimi01,Michael Hawkins
hendeal01,Alan Henderson
hendece02,Cedric Henderson
herrech01,Chris Herren
hillgr01,Grant Hill
hillty01,Tyrone Hill
hoibefr01,Fred Hoiberg
horryro01,Robert Horry
houseed01,Eddie House
houstal01,Allan Houston
howarju01,Juwan Howard
hudsotr01,Troy Hudson
hughela01,Larry Hughes
hunteli01,Lindsey Hunter
ilgauzy01,Zydrunas Ilgauskas
iversal01,Allen Iverson
jacksbo01,Bobby Jackson
jacksja01,Jaren Jackson
jacksji01,Jim Jackson
jacksma02,Marc Jackson
jacksma01,Mark Jackson
jacksst02,Stephen Jackson
jacobsa01,Sam Jacobson
jamesti01,Tim James
jamisan01,Antawn Jamison
johnsan02,Anthony Johnson
johnsav01,Avery Johnson
johnsde03,DerMarr Johnson
johnser02,Ervin Johnson
johnsla02,Larry Johnson
jonesda01,Damon Jones
jonesed02,Eddie Jones
jonesju01,Jumaine Jones
jonespo01,Popeye Jones
josepga01,Garth Joseph
keefead01,Adam Keefe
kempsh01,Shawn Kemp
kerrst01,Steve Kerr
kerseje01,Jerome Kersey
ketnela01,Lari Ketner
kiddja01,Jason Kidd
kingge02,Gerard King
knighbr01,Brevin Knight
knightr01,Travis Knight
kukocto01,Toni Kukoč
laettch01,Christian Laettner
lafrera01,Raef LaFrentz
langdtr01,Trajan Langdon
langhda01,Dan Langhi
lenarvo01,Voshon Lenard
lewisqu01,Quincy Lewis
lewisra02,Rashard Lewis
livinra01,Randy Livingston
longar01,Art Long
longgr01,Grant Long
longllu01,Luc Longley
lopezfe01,Felipe López
luety01,Tyronn Lue
lynchge01,George Lynch
maccuto01,Todd MacCulloch
macledo01,Don MacLean
madsema01,Mark Madsen
maggeco01,Corey Maggette
magloja01,Jamaal Magloire
majerda01,Dan Majerle
malonka01,Karl Malone
malonma01,Matt Maloney
